fips5,year,ahrf_pcp_count,population,medi_cal_share,county_type,ahrf_pcp_per_100k,high_mc,post_2017,treat_x_post
06093,2023,26.0,43527.0,0.1593755344703032,Well-Served,59.733039262986196,1,1,1
06095,2023,391.0,447411.0,0.1145368735745369,Underserved,87.39168236811344,1,1,1
06097,2023,493.0,480343.0,0.1006981816465872,Well-Served,102.63499207857718,1,1,1
06099,2023,357.0,548423.0,0.083595549825996,Underserved,65.09573814373212,0,1,0
06101,2023,75.0,98704.0,0.1607995172997604,Underserved,75.98476252228886,1,1,1
06103,2023,36.0,64732.0,0.1292669519454571,Adequate,55.613915837607365,1,1,1
06105,2023,2.0,15940.0,0.1310644081974069,Underserved,12.547051442910915,1,1,1
06107,2023,232.0,476566.0,0.1561012360652389,TRUE DESERT,48.681609682604304,1,1,1
06109,2023,32.0,54610.0,0.0756924098150522,Adequate,58.597326496978575,0,1,0
06111,2023,727.0,829275.0,0.1100675623620364,Underserved,87.66693798800156,1,1,1
06113,2023,263.0,221467.0,0.0991322760401223,Adequate,118.75358405541232,1,1,1
06115,2023,18.0,83080.0,0.1564091504841384,Underserved,21.665864227250843,1,1,1
