county,year,total_op_revenue,total_op_expense,total_net_patient_rev,total_discharges,total_patient_days,total_ed_visits,total_medi_cal_rev,n_hospitals,operating_margin,cost_per_discharge,cost_per_patient_day,ed_per_discharge,ed_per_patient_day,medi_cal_rev_share
SAN FRANCISCO,2018,6778613472.0,7093326408.0,6625490901.0,45708.0,1038971.0,268988.0,1538321806.0,12,-0.046427331680728705,155187.85350485693,6827.261211333136,5.88492167673055,0.25889846781093984,0.2321823135803896
SAN FRANCISCO,2019,7010153359.0,7417087336.0,6827177033.0,50507.0,1001843.0,255273.0,1464600480.0,11,-0.05804922605260225,146852.66074009542,7403.442790936305,5.054210307482132,0.2548033973387048,0.21452504789617632
SAN FRANCISCO,2020,7228001495.0,8366760698.0,6820640675.0,41472.0,993135.0,213591.0,1527967453.0,11,-0.1575482799481629,201744.80849729938,8424.595546426215,5.150245949074074,0.21506743796160643,0.22402110385326815
SAN FRANCISCO,2021,8711930563.0,9217211612.0,8170791961.0,41404.0,983855.0,195229.0,1430197846.0,11,-0.05799874612705863,222616.45280649213,9368.465487292335,4.715220751618201,0.19843269587490026,0.17503784857410104
SAN FRANCISCO,2022,9051493503.0,9619746724.0,8802897963.0,43494.0,1015669.0,220329.0,1648721713.0,11,-0.06278005069678941,221174.10962431598,9471.34029294977,5.065733204579942,0.21692992500509517,0.18729306189050962
SAN FRANCISCO,2023,9655895562.0,10704201658.0,9385205105.0,47553.0,997506.0,225535.0,1996050370.0,11,-0.10856642858954733,225100.44914095852,10730.9646839217,4.742813282022165,0.2260988906332393,0.2126805272413916
SAN JOAQUIN,2012,0.0,0.0,0.0,10317.0,0.0,0.0,0.0,8,,0.0,,0.0,,
SAN JOAQUIN,2013,0.0,0.0,0.0,11924.0,0.0,0.0,0.0,8,,0.0,,0.0,,
SAN JOAQUIN,2014,932566122.0,918612428.0,918824871.0,10885.0,211572.0,243369.0,179816653.0,8,0.014962685938102306,84392.50601745522,4341.843098330592,22.358199356913182,1.150289263229539,0.19570285772118592
SAN JOAQUIN,2015,1554730327.0,1469767531.0,1541583642.0,10825.0,306963.0,319020.0,444333157.0,8,0.05464793123572999,135775.29154734412,4788.09345425996,29.47066974595843,1.0392783495079212,0.28823162421698817
SAN JOAQUIN,2016,606111117.0,598880793.0,598243902.0,9504.0,127506.0,219912.0,152023439.0,6,0.011929040397389708,63013.551452020205,4696.883229024516,23.13888888888889,1.724718836760623,0.25411615311375124
SAN JOAQUIN,2017,1159590968.0,1169143172.0,1147490007.0,6646.0,224317.0,306155.0,275312375.0,8,-0.008237563299130491,175916.81793560035,5212.013231275382,46.06605476978634,1.3648319119817045,0.2399257277366425
SAN JOAQUIN,2018,1248991327.0,1212218550.0,1239033273.0,6158.0,214031.0,314294.0,371634216.0,8,0.02944197946380135,196852.63884378044,5663.752213464405,51.03832413121143,1.4684508318888385,0.29993885079468724
SAN JOAQUIN,2019,1289965391.0,1244796984.0,1282419992.0,6536.0,226957.0,320191.0,337904904.0,8,0.03501520840414547,190452.41493268055,5484.7261111135585,48.98883108935129,1.4108002837541913,0.263490047026653
SAN JOAQUIN,2020,1327612455.0,1264883171.0,1262140751.0,6330.0,221775.0,273245.0,318230687.0,8,0.04724969531865381,199823.56571879936,5703.452467591027,43.166666666666664,1.2320820651561266,0.25213565661980597
SAN JOAQUIN,2021,2128032489.0,2073369790.0,2024560894.0,6024.0,240259.0,279114.0,388110927.0,8,0.025686966379769402,344184.89209827356,8629.727876999405,46.33366533864542,1.1617213090872767,0.19170128601723352
SAN JOAQUIN,2022,2242229144.0,2100323430.0,2144288984.0,5848.0,237982.0,328391.0,311630877.0,8,0.0632877841141824,359152.4333105335,8825.555840357674,56.154411764705884,1.3798984797169533,0.14533063375565985
SAN JOAQUIN,2023,2394671264.0,2207039183.0,2275895395.0,5565.0,244229.0,345431.0,378599966.0,9,0.0783540036667012,396592.84510332433,9036.76133055452,62.07205750224618,1.4143733954608175,0.16635209457858233
SAN LUIS OBISPO,2012,0.0,0.0,0.0,3842.0,0.0,0.0,0.0,5,,0.0,,0.0,,
SAN LUIS OBISPO,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,,,,,
SAN LUIS OBISPO,2014,469647503.0,444501699.0,463722814.0,0.0,406248.0,34115.0,17771176.0,4,0.053541866696563696,,1094.1634149583506,,0.08397579803469801,0.038322841713800175
SAN LUIS OBISPO,2015,531094857.0,491780844.0,527861287.0,0.0,431818.0,40983.0,43222341.0,4,0.07402446565209349,,1138.8613814153184,,0.09490803996127999,0.08188200586871225
SAN LUIS OBISPO,2016,565196063.0,525749042.0,559912952.0,0.0,453412.0,39557.0,44954250.0,4,0.06979351694457929,,1159.539319647473,,0.08724294901767046,0.08028792661327827
SAN LUIS OBISPO,2017,585933424.0,537093288.0,582764713.0,0.0,451722.0,40836.0,45601320.0,4,0.08335441195107518,,1188.9907686585998,,0.09040073319430977,0.0782499677532809
SAN LUIS OBISPO,2018,627605708.0,577643486.0,624399772.0,0.0,455140.0,39798.0,50211457.0,4,0.07960766029234394,,1269.1556136573363,,0.08744122687524718,0.08041555947268988
SAN LUIS OBISPO,2019,653705108.0,606819308.0,649887595.0,0.0,459944.0,39012.0,41836969.0,4,0.07172316603651199,,1319.3330231506445,,0.08481902144608909,0.06437570023166853
SAN LUIS OBISPO,2020,680502574.0,627318723.0,668088819.0,0.0,453783.0,33485.0,44130757.0,4,0.07815378373572471,,1382.420062012019,,0.07379077664875061,0.06605522461228318
SAN LUIS OBISPO,2021,689129744.0,637375052.0,686032672.0,0.0,403483.0,35143.0,51037566.0,4,0.07510152108599161,,1579.682544245978,,0.08709908471980232,0.07439524104764503
SAN LUIS OBISPO,2022,737319367.0,668782363.0,733870773.0,0.0,421736.0,41702.0,46045311.0,4,0.09295429778124897,,1585.784384069655,,0.09888176489557449,0.06274307779252575
SAN LUIS OBISPO,2023,781161217.0,714753936.0,774987999.0,307.0,382506.0,43640.0,48056254.0,4,0.08501098051825069,2328188.7166123777,1868.6084296716915,142.14983713355048,0.11408971362540718,0.06200902989724877
SAN MATEO,2012,0.0,0.0,0.0,4054.0,0.0,0.0,0.0,7,,0.0,,0.0,,
SAN MATEO,2013,0.0,0.0,0.0,2657.0,0.0,0.0,0.0,7,,0.0,,0.0,,
SAN MATEO,2014,1251770130.0,1261667710.0,1198429624.0,14434.0,337503.0,184084.0,203873955.0,7,-0.007906867053937451,87409.42981848413,3738.241467483252,12.753498683663572,0.5454292258142891,0.17011758631226892
SAN MATEO,2015,1371692595.0,1386509386.0,1343103051.0,6383.0,346693.0,193454.0,341167141.0,7,-0.010801830566126224,217219.07974306753,3999.242517154947,30.307692307692307,0.5579979982289807,0.2540141210653835
SAN MATEO,2016,1329086599.0,1432637698.0,1312864995.0,5860.0,336472.0,193997.0,326678686.0,7,-0.0779114762558824,244477.4228668942,4257.821447252669,33.10529010238908,0.5765620913478685,0.24882884930601717
