fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population
06065,2015,234.175,45523.0,1081466.6875
06065,2016,296.5571428571429,55275.0,1638803.2142857143
06065,2017,283.1142857142857,54271.0,1669035.642857143
06065,2018,278.48571428571427,55515.0,1697314.357142857
06065,2019,285.43571428571425,58342.0,1720254.7142857143
06065,2020,234.34285714285716,47700.0,1696399.7142857143
06065,2021,229.82142857142858,47999.0,1723681.142857143
06065,2022,251.59285714285716,53306.0,1746038.357142857
06065,2023,233.20714285714286,58606.0,1763525.2142857143
06065,2024,254.7642857142857,60129.0,1799884.357142857
06067,2005,287.08125,38760.0,876540.9375
06067,2006,284.6,39012.0,884195.5
06067,2007,284.56875,39701.0,893311.9375
06067,2008,285.7875,40478.0,903543.6875
06067,2009,262.10625,37933.0,915403.0
06067,2010,251.95,37101.0,926277.1875
06067,2011,231.5625,35135.0,941204.4375
06067,2012,212.36875,32674.0,921006.8125
06067,2013,219.3875,34696.0,933678.0
06067,2014,223.35,35794.0,964932.75
06067,2015,228.67499999999998,28544.0,711266.625
06067,2016,258.5285714285714,36128.0,1065744.642857143
06067,2017,278.0857142857143,39269.0,1080022.357142857
06067,2018,267.55,38755.0,1091263.642857143
06067,2019,259.43571428571425,38322.0,1103099.2142857143
06067,2020,211.9,32710.0,1131990.7857142857
06067,2021,223.53571428571428,34940.0,1136787.7857142857
06067,2022,231.85,36542.0,1137513.9285714286
06067,2023,258.75,42439.0,1138925.357142857
06067,2024,289.54285714285714,44585.0,1161570.4285714286
06069,2005,285.09375,1354.0,34560.4
06069,2006,290.41875,1396.0,34345.333333333336
06069,2007,273.2,1343.0,34380.2
06069,2008,270.71875,1355.0,34666.066666666666
06069,2009,267.76875,1373.0,35042.6
06069,2010,284.6375,1502.0,35908.8
06069,2011,259.25625,1409.0,36522.333333333336
06069,2012,243.63125,1377.0,37531.4
06069,2013,255.17499999999998,1488.0,38241.73333333333
06069,2014,225.1375,1298.0,37452.73333333333
06069,2015,213.85625,1006.0,29923.6
06069,2016,363.57142857142856,1336.0,40626.857142857145
06069,2017,361.00714285714287,1346.0,41440.28571428572
06069,2018,352.90714285714284,1366.0,44185.769230769234
06069,2019,301.90714285714284,1228.0,45341.307692307695
06069,2020,218.75714285714284,917.0,46613.0
06069,2021,242.07857142857142,1050.0,46233.57142857143
