fips5,age65_pct,median_age,no_vehicle_workers,total_workers,bachelors_pct,unemp_rate,year,poverty_pct,disability_pct,limited_english_pct,no_vehicle_pct
06103,38.9,70.9,1.9,22168,13.7,16.1,2014,18.6,18.9,,0.008570913027787803
06105,50.1,65.9,0.4,4526,23.3,13.0,2014,18.7,22.9,,0.008837825894829872
06107,29.4,72.1,2.9,165479,12.3,13.5,2014,27.4,11.0,,0.0017524882311350683
06109,45.8,63.3,2.9,18863,18.2,15.2,2014,14.7,18.2,,0.015374012617293112
06111,35.5,60.1,1.6,386259,32.3,9.4,2014,11.1,10.1,,0.0004142298302434377
06113,30.4,48.8,3.1,88717,38.6,9.6,2014,20.0,10.4,,0.0034942570195114803
06115,31.1,64.8,2.6,25496,13.2,17.3,2014,22.2,17.0,,0.010197678067147789
06001,36.2,51.0,4.8,719132,43.0,8.3,2015,12.5,9.5,10.0,0.0006674713404493194
06003,36.9,72.4,3.4,395,27.5,10.7,2015,17.5,22.2,2.0,0.8607594936708861
06005,47.9,63.7,1.5,11880,21.3,14.0,2015,12.8,18.1,1.4,0.012626262626262626
06007,35.2,58.6,3.1,86547,25.9,12.1,2015,21.9,17.1,2.5,0.003581868811166187
06009,50.0,74.1,1.7,15643,20.9,12.1,2015,12.6,19.3,0.7,0.010867480662277057
06011,33.1,69.6,1.7,8570,14.6,10.4,2015,15.0,12.6,8.8,0.01983663943990665
06013,37.5,60.1,2.2,495757,39.6,8.8,2015,10.9,10.9,7.0,0.0004437657965495192
06015,37.2,56.4,3.1,8155,15.1,11.5,2015,21.8,22.5,2.4,0.03801348865726548
06017,43.8,62.3,2.1,77075,32.1,11.1,2015,10.4,12.5,1.9,0.00272461887771651
06019,30.5,66.4,3.3,360312,19.4,13.2,2015,26.8,12.4,10.0,0.0009158729101445413
06021,35.6,70.4,2.3,10063,14.9,12.6,2015,20.8,17.2,8.8,0.022856007154923978
06023,36.6,52.2,3.2,56522,28.0,10.5,2015,21.4,16.7,1.7,0.005661512331481547
