fips5,year,ed_visits,ed_admissions,ed_total,ed_admit_rate,county_name_clean
06095,2015,191177.0,18085.0,209262.0,0.09459819957421656,SOLANO
06097,2015,152098.0,18969.0,171067.0,0.12471564386119476,SONOMA
06099,2015,239370.0,33538.0,272908.0,0.14010945398337302,STANISLAUS
06103,2015,30568.0,1921.0,32489.0,0.06284349646689348,TEHAMA
06105,2015,5048.0,307.0,5355.0,0.0608161648177496,TRINITY
06107,2015,144199.0,19472.0,163671.0,0.1350356105104751,TULARE
06109,2015,30146.0,3397.0,33543.0,0.1126849333244875,TUOLUMNE
06111,2015,237117.0,36038.0,273155.0,0.15198404163345522,VENTURA
06113,2015,47730.0,4123.0,51853.0,0.08638173056777708,YOLO
06115,2015,52146.0,7543.0,59689.0,0.14465155524872472,YUBA
06001,2016,574350.0,73192.0,647542.0,0.12743449116392444,ALAMEDA
06005,2016,22002.0,1860.0,23862.0,0.08453776929370058,AMADOR
06007,2016,105393.0,25763.0,131156.0,0.24444697465676088,BUTTE
06009,2016,12469.0,845.0,13314.0,0.06776806480070575,CALAVERAS
06011,2016,2118.0,86.0,2204.0,0.04060434372049103,COLUSA
06013,2016,316931.0,43877.0,360808.0,0.1384433835756048,CONTRA COSTA
06015,2016,19705.0,1632.0,21337.0,0.08282161887845725,DEL NORTE
06017,2016,43225.0,5359.0,48584.0,0.12397917871602082,EL DORADO
06019,2016,276939.0,49502.0,326441.0,0.17874694427292653,FRESNO
06021,2016,6520.0,203.0,6723.0,0.031134969325153375,GLENN
06023,2016,59770.0,7212.0,66982.0,0.12066253973565334,HUMBOLDT
06025,2016,90303.0,6629.0,96932.0,0.07340841389544091,IMPERIAL
06027,2016,10426.0,617.0,11043.0,0.05917897563782851,INYO
06029,2016,329727.0,38206.0,367933.0,0.11587161500271437,KERN
06031,2016,117483.0,7410.0,124893.0,0.06307295523607671,KINGS
06033,2016,39850.0,2404.0,42254.0,0.06032622333751569,LAKE
06035,2016,11289.0,633.0,11922.0,0.05607228275312251,LASSEN
06037,2016,3136727.0,544427.0,3681154.0,0.1735653118680714,LOS ANGELES
06039,2016,151155.0,10225.0,161380.0,0.06764579405246271,MADERA
06041,2016,68982.0,9644.0,78626.0,0.1398045867037778,MARIN
06043,2016,6036.0,139.0,6175.0,0.023028495692511596,MARIPOSA
06045,2016,49784.0,3430.0,53214.0,0.0688976377952756,MENDOCINO
06047,2016,95043.0,9024.0,104067.0,0.0949464979009501,MERCED
06049,2016,4450.0,146.0,4596.0,0.03280898876404494,MODOC
06051,2016,9153.0,400.0,9553.0,0.043701518627772315,MONO
06053,2016,155688.0,20665.0,176353.0,0.1327334155490468,MONTEREY
06055,2016,33307.0,5155.0,38462.0,0.15477227009337377,NAPA
06057,2016,39879.0,4862.0,44741.0,0.12191880438325936,NEVADA
06059,2016,832740.0,152402.0,985142.0,0.18301270504599274,ORANGE
06061,2016,186690.0,25633.0,212323.0,0.13730248004713697,PLACER
06063,2016,11286.0,644.0,11930.0,0.057061846535530744,PLUMAS
06065,2016,777343.0,114094.0,891437.0,0.1467743325661902,RIVERSIDE
06067,2016,548237.0,77495.0,625732.0,0.14135310093992196,SACRAMENTO
06069,2016,18314.0,1386.0,19700.0,0.07567980779731354,SAN BENITO
06071,2016,774930.0,112434.0,887364.0,0.1450892338662847,SAN BERNARDINO
06073,2016,858361.0,156633.0,1014994.0,0.18247916669093772,SAN DIEGO
06075,2016,247249.0,45121.0,292370.0,0.18249214354759777,SAN FRANCISCO
06077,2016,326636.0,38581.0,365217.0,0.11811619049951629,SAN JOAQUIN
06079,2016,97041.0,9942.0,106983.0,0.10245154110118404,SAN LUIS OBISPO
06081,2016,187877.0,23836.0,211713.0,0.12687023957163462,SAN MATEO
06083,2016,158988.0,17475.0,176463.0,0.1099139557702468,SANTA BARBARA
06085,2016,501310.0,81015.0,582325.0,0.16160659073228142,SANTA CLARA
06087,2016,74329.0,10232.0,84561.0,0.13765824913559982,SANTA CRUZ
06089,2016,91683.0,14057.0,105740.0,0.15332177175703238,SHASTA
06093,2016,21673.0,1594.0,23267.0,0.07354773220135653,SISKIYOU
06095,2016,193186.0,19419.0,212605.0,0.10051970639694388,SOLANO
06097,2016,161368.0,19411.0,180779.0,0.12029026820683159,SONOMA
06099,2016,242416.0,33066.0,275482.0,0.13640188766418057,STANISLAUS
06103,2016,30473.0,2020.0,32493.0,0.06628818954484297,TEHAMA
06105,2016,4586.0,289.0,4875.0,0.06301788050588748,TRINITY
06107,2016,137561.0,19973.0,157534.0,0.14519376858266514,TULARE
06109,2016,30120.0,3268.0,33388.0,0.10849933598937583,TUOLUMNE
06111,2016,233514.0,36947.0,270461.0,0.15822177685277972,VENTURA
06113,2016,49769.0,4451.0,54220.0,0.0894331812975949,YOLO
06115,2016,58653.0,8021.0,66674.0,0.1367534482464665,YUBA
06001,2017,573109.0,74336.0,647445.0,0.12970656541774775,ALAMEDA
06005,2017,21986.0,1887.0,23873.0,0.08582734467388338,AMADOR
06007,2017,105169.0,27124.0,132293.0,0.2579086993315521,BUTTE
06009,2017,12196.0,770.0,12966.0,0.06313545424729419,CALAVERAS
06011,2017,0.0,34.0,34.0,,COLUSA
06013,2017,317150.0,45835.0,362985.0,0.1445215197855904,CONTRA COSTA
06015,2017,18575.0,1741.0,20316.0,0.09372812920592194,DEL NORTE
06017,2017,41908.0,5146.0,47054.0,0.12279278419394865,EL DORADO
06019,2017,294700.0,55242.0,349942.0,0.18745164574143197,FRESNO
06021,2017,6361.0,174.0,6535.0,0.027354189592831316,GLENN
06023,2017,58374.0,7454.0,65828.0,0.12769383629698153,HUMBOLDT
06025,2017,90316.0,7081.0,97397.0,0.0784024978962753,IMPERIAL
06027,2017,10731.0,677.0,11408.0,0.06308824899822943,INYO
06029,2017,326912.0,39557.0,366469.0,0.12100198218480815,KERN
06031,2017,115620.0,6915.0,122535.0,0.05980799169693825,KINGS
06033,2017,40404.0,2365.0,42769.0,0.05853380853380853,LAKE
06035,2017,11020.0,637.0,11657.0,0.05780399274047187,LASSEN
06037,2017,3254483.0,546072.0,3800555.0,0.16779070592779252,LOS ANGELES
06039,2017,145838.0,10146.0,155984.0,0.06957034517752575,MADERA
06041,2017,69193.0,10491.0,79684.0,0.15161938346364517,MARIN
06043,2017,7000.0,116.0,7116.0,0.01657142857142857,MARIPOSA
06045,2017,50748.0,3558.0,54306.0,0.07011113738472452,MENDOCINO
06047,2017,95345.0,9631.0,104976.0,0.10101211390214485,MERCED
06049,2017,5036.0,153.0,5189.0,0.030381254964257347,MODOC
06051,2017,8538.0,456.0,8994.0,0.05340829234012649,MONO
06053,2017,159207.0,23584.0,182791.0,0.14813419007958192,MONTEREY
06055,2017,32600.0,5261.0,37861.0,0.1613803680981595,NAPA
06057,2017,36534.0,4937.0,41471.0,0.13513439535774896,NEVADA
06059,2017,859619.0,153358.0,1012977.0,0.178402292178279,ORANGE
06061,2017,198677.0,26857.0,225534.0,0.13517921047730738,PLACER
06063,2017,10973.0,557.0,11530.0,0.05076095871685045,PLUMAS
