Month of Eligibility,County,Dual Status,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-09,Humboldt,Dual,"8,294",,,P,09DEC2025
2025-09,Humboldt,Non-Dual,"50,451",,,P,09DEC2025
2025-09,Imperial,Dual,"17,481",,,P,09DEC2025
2025-09,Imperial,Non-Dual,"83,226",,,P,09DEC2025
2025-09,Inyo,Dual,875,,,P,09DEC2025
2025-09,Inyo,Non-Dual,"4,485",,,P,09DEC2025
2025-09,Kern,Dual,"44,449",,,P,09DEC2025
2025-09,Kern,Non-Dual,"451,911",,,P,09DEC2025
2025-09,Kings,Dual,"6,532",,,P,09DEC2025
2025-09,Kings,Non-Dual,"61,320",,,P,09DEC2025
2025-09,Lake,Dual,"5,957",,,P,09DEC2025
2025-09,Lake,Non-Dual,"28,416",,,P,09DEC2025
2025-09,Lassen,Dual,"1,322",,,P,09DEC2025
2025-09,Lassen,Non-Dual,"7,521",,,P,09DEC2025
2025-09,Los Angeles,Dual,"552,894",,,P,09DEC2025
2025-09,Los Angeles,Non-Dual,"3,520,397",,,P,09DEC2025
2025-09,Madera,Dual,"7,238",,,P,09DEC2025
2025-09,Madera,Non-Dual,"76,536",,,P,09DEC2025
2025-09,Marin,Dual,"6,537",,,P,09DEC2025
2025-09,Marin,Non-Dual,"49,352",,,P,09DEC2025
2025-09,Mariposa,Dual,945,,,P,09DEC2025
2025-09,Mariposa,Non-Dual,"4,878",,,P,09DEC2025
2025-09,Mendocino,Dual,"5,973",,,P,09DEC2025
2025-09,Mendocino,Non-Dual,"36,027",,,P,09DEC2025
2025-09,Merced,Dual,"14,591",,,P,09DEC2025
2025-09,Merced,Non-Dual,"136,011",,,P,09DEC2025
2025-09,Modoc,Dual,726,,,P,09DEC2025
2025-09,Modoc,Non-Dual,"2,921",,,P,09DEC2025
2025-09,Mono,Dual,258,,,P,09DEC2025
2025-09,Mono,Non-Dual,"3,287",,,P,09DEC2025
2025-09,Monterey,Dual,"16,731",,,P,09DEC2025
2025-09,Monterey,Non-Dual,"175,365",,,P,09DEC2025
