fips5,year,new_providers,new_physicians,new_pcps,population,medi_cal_share,county_type,access_gap,high_mc,post_prop56,treat_x_post,new_providers_per100k,new_physicians_per100k,new_pcps_per100k,true_desert,desert_x_post,event_time
06081,2024,332,121,34,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,1,0,54.471288872729794,19.852487812049116,5.578385005038594,0,0,7
06083,2010,46,34,8,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,13.135583782465595,9.70890975225718,2.2844493534722776,1,0,-7
06083,2011,63,57,28,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,17.990038658594184,16.276701643489975,7.995572737152971,1,0,-6
06083,2012,66,45,12,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,18.846707166146288,12.85002761328156,3.426674030208416,1,0,-5
06083,2013,60,42,14,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,17.133370151042083,11.993359105729457,3.9977863685764854,1,0,-4
06083,2014,90,47,14,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,25.70005522656312,13.421139951649629,3.9977863685764854,1,0,-3
06083,2015,131,91,38,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,37.40785816310854,25.985611395747153,10.85113442899332,1,0,-2
06083,2016,75,50,17,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,21.4167126888026,14.277808459201735,4.85445487612859,1,0,-1
06083,2017,75,57,15,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,0,0,21.4167126888026,16.276701643489975,4.283342537760521,1,0,0
06083,2018,90,49,18,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,1,1,25.70005522656312,13.9922522900177,5.140011045312624,1,1,1
06083,2019,102,47,14,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,1,1,29.12672925677154,13.421139951649629,3.9977863685764854,1,1,2
06083,2020,158,75,30,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,1,1,45.11787473107748,21.4167126888026,8.566685075521042,1,1,3
06083,2021,142,58,14,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,1,1,40.54897602413293,16.562257812674012,3.9977863685764854,1,1,4
06083,2022,165,62,10,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,1,1,47.11676791536572,17.70448248941015,2.8555616918403466,1,1,5
06083,2023,119,65,14,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,1,1,33.981184132900125,18.561150996962255,3.9977863685764854,1,1,6
06083,2024,237,81,22,350193.8,0.12404023509596569,TRUE DESERT,-5.636931401476588,1,1,1,67.67681209661622,23.13004970390681,6.282235722048764,1,1,7
06085,2010,333,295,111,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,22.184034150621798,19.652522746046337,7.394678050207266,0,0,-7
06085,2011,370,327,142,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,24.64892683402422,21.784321823583568,9.459858406571456,0,0,-6
06085,2012,392,313,111,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,26.114538699831062,20.851659727161028,7.394678050207266,0,0,-5
06085,2013,600,368,157,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,39.971232703823055,24.515689391678144,10.459139224167034,0,0,-4
06085,2014,431,345,127,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,28.712668825579563,22.98345880469826,8.46057758897588,0,0,-3
06085,2015,888,542,223,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,59.157424401658126,36.10734687578683,14.85597482158757,0,0,-2
06085,2016,783,472,186,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,52.16245867848909,31.44403639367414,12.391082138185148,0,0,-1
06085,2017,796,415,168,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,0,0,53.02850205373859,27.646769286810947,11.191945157070457,0,0,0
06085,2018,1112,461,193,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,1,0,74.08001794441874,30.711230460770718,12.857413186396418,0,0,1
06085,2019,1087,436,154,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,1,0,72.41454991509278,29.045762431444757,10.259283060647919,0,0,2
06085,2020,1109,485,168,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,1,0,73.88016178089963,32.310079768923636,11.191945157070457,0,0,3
06085,2021,796,393,53,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,1,0,53.02850205373859,26.181157421004105,3.5307922221710366,0,0,4
06085,2022,967,503,79,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,1,0,64.42030337432816,33.50921675003833,5.262878972670036,0,0,5
06085,2023,1430,604,91,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,1,0,95.26477127744495,40.23770758851521,6.0623036267464965,0,0,6
06085,2024,1992,647,237,1501079.55,0.040996126497995285,Well-Served,33.501880102254745,0,1,0,132.70449257669256,43.10231259895586,15.788636918010107,0,0,7
06087,2010,27,22,8,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,12.36235434170463,10.073029463611181,3.6629198049495204,0,0,-7
06087,2011,29,12,3,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,13.278084292942012,5.49437970742428,1.37359492685607,0,0,-6
06087,2012,24,15,5,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,10.98875941484856,6.86797463428035,2.28932487809345,0,0,-5
06087,2013,31,21,9,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,14.193814244179391,9.615164487992491,4.1207847805682105,0,0,-4
06087,2014,47,35,19,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,21.519653854078435,16.02527414665415,8.699434536755112,0,0,-3
06087,2015,173,97,43,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,79.21064078203338,44.412902635012934,19.688193951603672,0,0,-2
06087,2016,80,33,15,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,36.6291980494952,15.109544195416772,6.86797463428035,0,0,-1
06087,2017,104,28,13,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,0,0,47.61795746434377,12.820219317323321,5.952244683042971,0,0,0
06087,2018,224,37,16,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,1,1,102.56175453858657,16.941004097891533,7.325839609899041,0,0,1
06087,2019,191,30,11,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,1,1,87.4522103431698,13.7359492685607,5.036514731805591,0,0,2
06087,2020,144,23,9,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,1,1,65.93255648909137,10.530894439229872,4.1207847805682105,0,0,3
06087,2021,59,17,4,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,1,1,27.014033561502714,7.783704585517731,1.8314599024747602,0,0,4
06087,2022,112,32,5,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,1,1,51.280877269293285,14.651679219798082,2.28932487809345,0,0,5
06087,2023,68,18,3,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,1,1,31.134818342070925,8.241569561136421,1.37359492685607,0,0,6
06087,2024,133,23,13,218405.0,0.10159682046843387,Well-Served,22.474861262153738,1,1,1,60.89604175728578,10.530894439229872,5.952244683042971,0,0,7
06089,2010,29,19,8,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,19.7092009346239,12.91292475027083,5.437020947482456,0,0,-7
06089,2011,19,11,1,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,12.91292475027083,7.475903802788376,0.679627618435307,0,0,-6
06089,2012,19,8,5,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,12.91292475027083,5.437020947482456,3.3981380921765347,0,0,-5
06089,2013,36,21,9,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,24.466594263671052,14.272179987141447,6.116648565917763,0,0,-4
06089,2014,21,12,5,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,14.272179987141447,8.155531421223683,3.3981380921765347,0,0,-3
06089,2015,71,44,12,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,48.25356090890679,29.903615211153504,8.155531421223683,0,0,-2
06089,2016,40,21,9,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,27.185104737412278,14.272179987141447,6.116648565917763,0,0,-1
06089,2017,42,21,11,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,0,0,28.544359974282894,14.272179987141447,7.475903802788376,0,0,0
06089,2018,81,31,14,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,1,1,55.04983709325986,21.068456171494518,9.514786658094298,0,0,1
06089,2019,73,26,11,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,1,1,49.61281614577741,17.67031807931798,7.475903802788376,0,0,2
06089,2020,66,13,5,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,1,1,44.85542281673026,8.83515903965899,3.3981380921765347,0,0,3
06089,2021,80,28,5,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,1,1,54.370209474824556,19.029573316188596,3.3981380921765347,0,0,4
06089,2022,51,18,1,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,1,1,34.661008540200655,12.233297131835526,0.679627618435307,0,0,5
06089,2023,65,19,5,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,1,1,44.175795198294956,12.91292475027083,3.3981380921765347,0,0,6
06089,2024,148,23,8,147139.4,0.14451544165017707,Well-Served,33.310330643664585,1,1,1,100.58488752842543,15.63143522401206,5.437020947482456,0,0,7
06091,2015,1,1,1,3098.4,0.07532143561512097,,,0,0,0,32.274722437387034,32.274722437387034,32.274722437387034,0,0,-2
06091,2019,3,0,0,3098.4,0.07532143561512097,,,0,1,0,96.82416731216111,0.0,0.0,0,0,2
06091,2024,1,0,0,3098.4,0.07532143561512097,,,0,1,0,32.274722437387034,0.0,0.0,0,0,7
06093,2010,11,4,2,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,29.690169584850455,10.796425303581984,5.398212651790992,0,0,-7
06093,2011,2,1,1,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,5.398212651790992,2.699106325895496,2.699106325895496,0,0,-6
06093,2012,7,0,0,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,18.89374428126847,0.0,0.0,0,0,-5
06093,2013,6,4,3,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,16.194637955372976,10.796425303581984,8.097318977686488,0,0,-4
06093,2014,9,3,2,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,24.291956933059463,8.097318977686488,5.398212651790992,0,0,-3
06093,2015,18,11,5,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,48.58391386611893,29.690169584850455,13.49553162947748,0,0,-2
06093,2016,21,7,5,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,56.68123284380541,18.89374428126847,13.49553162947748,0,0,-1
06093,2017,5,3,3,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,0,0,13.49553162947748,8.097318977686488,8.097318977686488,0,0,0
06093,2018,18,0,0,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,1,1,48.58391386611893,0.0,0.0,0,0,1
06093,2019,15,1,0,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,1,1,40.486594888432435,2.699106325895496,0.0,0,0,2
06093,2020,17,3,2,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,1,1,45.88480754022343,8.097318977686488,5.398212651790992,0,0,3
06093,2021,13,2,0,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,1,1,35.08838223664144,5.398212651790992,0.0,0,0,4
06093,2022,11,5,1,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,1,1,29.690169584850455,13.49553162947748,2.699106325895496,0,0,5
06093,2023,7,2,0,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,1,1,18.89374428126847,5.398212651790992,0.0,0,0,6
06093,2024,28,6,2,37049.3,0.15988317202580082,Well-Served,21.01658297095262,1,1,1,75.57497712507389,16.194637955372976,5.398212651790992,0,0,7
06095,2010,77,66,36,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,22.0768178646757,18.9229867411506,10.32162913153669,0,0,-7
06095,2011,86,54,25,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,24.657225147559874,15.482443697305035,7.167798008011591,0,0,-6
06095,2012,137,48,21,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,39.279533083903516,13.762172175382254,6.020950326729737,0,0,-5
06095,2013,100,34,16,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,28.671192032046363,9.748205290895763,4.587390725127418,0,0,-4
06095,2014,86,55,22,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,24.657225147559874,15.769155617625499,6.3076622470502,0,0,-3
06095,2015,186,94,41,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,53.328417179606234,26.95092051012358,11.75518873313901,0,0,-2
06095,2016,146,78,31,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,41.85994036678769,22.363529784996164,8.888069529934372,0,0,-1
06095,2017,149,63,33,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,0,0,42.72007612774908,18.062850980189207,9.4614933705753,0,0,0
06095,2018,155,46,15,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,1,1,44.440347649671864,13.188748334741327,4.300678804806954,0,0,1
06095,2019,143,29,12,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,1,1,40.9998046058263,8.314645689293444,3.4405430438455635,0,0,2
06095,2020,194,56,28,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,1,1,55.622112542169944,16.05586753794596,8.02793376897298,0,0,3
06095,2021,140,49,11,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,1,1,40.13966884486491,14.048884095702718,3.1538311235251,0,0,4
06095,2022,175,46,10,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,1,1,50.17458605608114,13.188748334741327,2.8671192032046364,0,0,5
06095,2023,223,75,23,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,1,1,63.936758231463386,21.503394024034773,6.594374167370663,0,0,6
06095,2024,184,59,31,348782.15,0.10296930028342294,Underserved,-1.357878891927072,1,1,1,52.754993338965306,16.916003298907352,8.888069529934372,0,0,7
06097,2010,115,45,15,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,28.667641449570564,11.217772741136308,3.739257580378769,0,0,-7
06097,2011,55,40,18,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,13.710611128055488,9.971353547676717,4.487109096454523,0,0,-6
06097,2012,83,51,32,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,20.69055861142919,12.713475773287815,7.977082838141374,0,0,-5
06097,2013,143,51,27,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,35.64758893294427,12.713475773287815,6.730663644681785,0,0,-4
06097,2014,114,62,29,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,28.418357610878648,15.455597998898911,7.229231322065621,0,0,-3
06097,2015,184,119,51,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,45.868226319312896,29.664776804338235,12.713475773287815,0,0,-2
06097,2016,144,73,31,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,35.89687277163618,18.197720224510007,7.727798999449456,0,0,-1
06097,2017,169,69,30,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,0,0,42.128968738934134,17.20058486974234,7.478515160757538,0,0,0
06097,2018,277,65,23,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,1,0,69.05162331766127,16.20344951497467,5.733528289914112,0,0,1
06097,2019,205,53,22,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,1,0,51.10318693184318,13.21204345067165,5.484244451222195,0,0,2
06097,2020,282,63,23,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,1,0,70.29804251112085,15.704881837590829,5.733528289914112,0,0,3
06097,2021,138,47,15,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,1,0,34.40116973948468,11.716340418520144,3.739257580378769,0,0,4
06097,2022,203,59,13,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,1,0,50.604619254459344,14.707746482823158,3.240689902994933,0,0,5
06097,2023,244,82,13,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,1,0,60.82525664082797,20.44127477273727,3.240689902994933,0,0,6
06097,2024,279,76,39,401149.15,0.08748893762428893,Well-Served,24.036145061633704,0,1,0,69.55019099504511,18.945571740585763,9.7220697089848,0,0,7
06099,2010,80,64,30,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,19.356537870279983,15.485230296223987,7.258701701354994,0,0,-7
06099,2011,88,67,30,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,21.292191657307985,16.211100466359486,7.258701701354994,0,0,-6
06099,2012,96,73,27,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,23.22784544433598,17.662840806630484,6.532831531219494,0,0,-5
06099,2013,101,68,24,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,24.43762906122848,16.453057189737986,5.806961361083995,0,0,-4
06099,2014,94,70,23,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,22.74393199757898,16.936970636494987,5.565004637705496,0,0,-3
06099,2015,167,97,31,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,40.40677280420947,23.46980216771448,7.500658424733494,0,0,-2
06099,2016,151,72,31,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,36.53546523015347,17.420884083251988,7.500658424733494,0,0,-1
06099,2017,199,95,41,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,0,0,48.14938795232146,22.985888720957483,9.920225658518492,0,0,0
06099,2018,266,135,69,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,1,1,64.36048841868094,32.66415765609748,16.695013913116487,0,0,1
06099,2019,162,86,37,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,1,1,39.19698918731697,20.808278210550984,8.952398765004492,0,0,2
06099,2020,306,146,52,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,1,1,74.03875735382094,35.32568161326097,12.581749615681991,0,0,3
06099,2021,218,90,30,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,1,1,52.74656569651296,21.776105104064982,7.258701701354994,0,0,4
06099,2022,195,89,26,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,1,1,47.18156105880746,21.53414838068648,6.2908748078409955,0,0,5
06099,2023,255,102,30,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,1,1,61.69896446151745,24.67958578460698,7.258701701354994,0,0,6
06099,2024,327,121,51,413297.05,0.11542082094772432,Underserved,-14.017173515983856,1,1,1,79.11984854476943,29.276763528798476,12.33979289230349,0,0,7
06101,2010,13,9,4,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,17.14621101710005,11.870453781069264,5.275757236030784,0,0,-7
06101,2011,17,5,2,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,22.42196825313083,6.594696545038479,2.637878618015392,0,0,-6
06101,2012,19,13,3,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,25.059846871146227,17.14621101710005,3.956817927023088,0,0,-5
06101,2013,12,9,2,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,15.827271708092352,11.870453781069264,2.637878618015392,0,0,-4
06101,2014,19,11,5,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,25.059846871146227,14.508332399084656,6.594696545038479,0,0,-3
06101,2015,27,8,3,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,35.6113613432078,10.551514472061568,3.956817927023088,0,0,-2
06101,2016,19,10,3,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,25.059846871146227,13.189393090076958,3.956817927023088,0,0,-1
06101,2017,26,12,3,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,0,0,34.2924220342001,15.827271708092352,3.956817927023088,0,0,0
06101,2018,31,10,6,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,1,1,40.887118579238575,13.189393090076958,7.913635854046176,0,0,1
06101,2019,36,9,4,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,1,1,47.481815124277055,11.870453781069264,5.275757236030784,0,0,2
06101,2020,45,2,0,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,1,1,59.35226890534632,2.637878618015392,0.0,0,0,3
06101,2021,35,4,1,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,1,1,46.16287581526936,5.275757236030784,1.318939309007696,0,0,4
06101,2022,13,1,0,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,1,1,17.14621101710005,1.318939309007696,0.0,0,0,5
06101,2023,40,1,1,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,1,1,52.75757236030783,1.318939309007696,1.318939309007696,0,0,6
06101,2024,28,3,2,75818.5,0.15082219384271414,Underserved,-24.64948899394041,1,1,1,36.930300652215486,3.956817927023088,2.637878618015392,0,0,7
